star_id,period,radius,tdur,rhostar,rstar,mstar,npl,mass
14559,6.01847404,2.71857566,0.15773850708333334,1.0,1.0,1.0,4,7.683606137937372
14559,9.44241611,2.58025775,0.050437511666666664,1.0,1.0,1.0,4,6.544920627131956
14559,18.0726305,4.16052166,0.140574395,1.0,1.0,1.0,4,18.24593081270004
15458,8.73496932,0.901610284,0.12709543166666668,1.0,1.0,1.0,2,0.7530087203220234
15458,15.5888413,0.987148824,0.19190706416666667,1.0,1.0,1.0,2,0.6624083355215473
15491,11.0967127,2.40730019,0.19471635916666666,1.0,1.0,1.0,2,6.971559075101068
15491,28.2665814,4.3556944,0.21271044291666666,1.0,1.0,1.0,2,20.31953523160074
15965,0.314170662,2.49449386,0.04036276945833333,1.0,1.0,1.0,2,13.212535769787463
15965,1.83324177,2.34355937,0.10088985125,1.0,1.0,1.0,2,8.998213805312599
16033,13.8141508,2.41704828,0.20708707916666666,1.0,1.0,1.0,2,6.391655417791025
16033,25.0293044,2.69513544,0.2512815875,1.0,1.0,1.0,2,5.560777816752411
16113,4.91480825,1.27593934,0.13604221208333334,1.0,1.0,1.0,2,2.6357865365016595
16113,7.3378112,1.46765336,0.04940476916666667,1.0,1.0,1.0,2,3.495084492760727
16126,7.35386227,2.22633737,0.16984217666666668,1.0,1.0,1.0,2,6.598400482041752
16126,15.6666325,2.79008392,0.19855657458333334,1.0,1.0,1.0,2,6.617218503422549
16233,10.7646088,2.48474796,0.166740495,1.0,1.0,1.0,2,6.50496396152073
16233,14.7503047,2.33240537,0.20782969541666665,1.0,1.0,1.0,2,6.989710470914943
16406,10.7581099,1.71154263,0.09135994708333334,1.0,1.0,1.0,2,6.342535328796487
16406,29.2162283,2.0400378,0.14303240291666666,1.0,1.0,1.0,2,2.5069167060760007
16606,0.911352352,2.00127457,0.08587498666666667,1.0,1.0,1.0,4,7.795568598130126
16606,3.68876225,1.29490998,0.12486952458333334,1.0,1.0,1.0,4,2.4690780072369236
16606,6.21292664,1.3911348,0.15850553125,1.0,1.0,1.0,4,1.7444408990982212
16606,16.1845327,1.91726017,0.20871689208333333,1.0,1.0,1.0,4,7.052728198749941
16624,1.87040927,3.21630525,0.10753934833333334,1.0,1.0,1.0,4,10.09116653336632
16624,4.71452112,3.5381138,0.14088934166666667,1.0,1.0,1.0,4,14.486883278965728
16624,8.95167178,4.61264251,0.16969994541666666,1.0,1.0,1.0,4,22.742883693122643
16624,14.0617503,3.26072023,0.21168580541666668,1.0,1.0,1.0,4,9.438711605839266
16811,5.05325993,1.49355957,0.14382636291666667,1.0,1.0,1.0,3,3.5747397072047793
