target_id,star_id,planet_mass,planet_radius,clusterid,period,ecc,star_mass,star_radius,npl
273.0,47395.0,1.0295079694243575e-05,0.017061019141325028,1.0,17.659790241075186,0.041980454134849694,0.831,1.061231,3
308.0,56017.0,1.8392505769352126e-05,0.03655757906911988,1.0,6.522910926399606,0.04026394419220407,1.049,1.4720895,5
308.0,56017.0,3.166029089983015e-05,0.031974572228462866,1.0,24.26416357749105,0.03278351944319625,1.049,1.4720895,5
308.0,56017.0,1.6807966930461877e-05,0.026898022711900317,1.0,38.888971712467466,0.05429603815585734,1.049,1.4720895,5
308.0,56017.0,1.577147353125266e-05,0.028365009885968916,1.0,77.79091544493502,0.03453396140545151,1.049,1.4720895,5
308.0,56017.0,7.95809917136226e-06,0.03596542395668151,1.0,177.12777187265203,0.002245804574359612,1.049,1.4720895,5
318.0,22362.0,7.090738457076802e-06,0.013649320095933667,1.0,4.075864044499423,0.02398598039937832,0.715,0.6617322,8
318.0,22362.0,1.5526750906840577e-05,0.01618076730083178,1.0,11.327951962262324,0.0031747221982016305,0.715,0.6617322,8
318.0,22362.0,2.8396396442592113e-06,0.007018433294020784,1.0,27.7516881747242,0.04783654724240381,0.715,0.6617322,8
318.0,22362.0,1.1044228126319128e-05,0.006464850151560818,1.0,41.186598690359105,0.048224657427274796,0.715,0.6617322,8
318.0,22362.0,3.362307187575396e-05,0.014811866486794847,1.0,85.36290450489442,0.031978634699392515,0.715,0.6617322,8
318.0,22362.0,3.506374817312018e-07,0.005512755373564981,2.0,132.55691858253155,0.02737128404109438,0.715,0.6617322,8
318.0,22362.0,2.4218879859908854e-06,0.006039400386553589,1.0,192.75526583570425,0.029997569802528056,0.715,0.6617322,8
318.0,22362.0,3.078609669879665e-07,0.004891706654675553,2.0,269.9632487871688,0.0066106596311634415,0.715,0.6617322,8
491.0,35136.0,1.8295827041276328e-05,0.04180346175101581,2.0,11.717011943633246,0.017038025775690722,0.912,1.1244932,6
491.0,35136.0,1.6802032876857133e-05,0.04782448963202785,2.0,18.743813169314937,0.004090326794650331,0.912,1.1244932,6
491.0,35136.0,1.6169290756353846e-05,0.03840334856094428,2.0,47.06959790642173,0.022074087946727102,0.912,1.1244932,6
